typeid,type,valid,val,enum
12,Budget Code,45,43104, 
12,Budget Code,346,41038, 
12,Budget Code,345,41486, 
13,Department Code,609,CSWS Education, 
13,Department Code,598,CSWS Admin, 
13,Department Code,47,Delaney Library, 
13,Department Code,67,Anthropology, 
13,Department Code,66,Museum, 
13,Department Code,48,Archives, 
14,Building,149,Miller Student Center, 
14,Building,145,Berndt Hall, 
14,Building,146,Reed Library, 
14,Building,147,Campbell Child Development Center, 
14,Building,148,Kroeger Hall, 
14,Building,150,Sourthern Ute Museum, 
14,Building,152,Returned to donor, 
14,Building,49,CSWS, 
15,Room,139,164, 
15,Room,140,166, 
15,Room,141,167, 
15,Room,142,168, 
15,Room,126,24, 
15,Room,708,N/A, 
15,Room,128,2, 
15,Room,129,112, 
15,Room,130,114, 
15,Room,131,133, 
15,Room,132,135, 
15,Room,608,6, 
15,Room,438,162, 
15,Room,440,111, 
15,Room,124,8, 
15,Room,442,138, 
15,Room,125,21, 
15,Room,151,118, 
15,Room,469,136, 
15,Room,136,160, 
15,Room,50,19, 
15,Room,468,134, 
15,Room,123,7, 
15,Room,138,163, 
15,Room,137,170, 
15,Room,143,172, 
15,Room,144,174, 
15,Room,133,137, 
15,Room,51,130, 
15,Room,127,25, 
15,Room,134,140, 
15,Room,135,141, 
15,Room,233,SIO, 
15,Room,240,Campbell Room, 
15,Room,328,165, 
16,Value,54,Appraised, 
16,Value,52,Acquired, 
16,Value,53,Insured, 
16,Value,55,Market, 
17,Technique,86,Cast, 
17,Technique,88,Carved, 
17,Technique,82,Oil on Canvas, 
17,Technique,87,Molded, 
17,Technique,94,Painted, 
17,Technique,85,Felted, 
17,Technique,92,Lithography, 
17,Technique,84,Woven, 
17,Technique,83,Pastel on Paper, 
17,Technique,91,Printed, 
17,Technique,90,Stamped, 
17,Technique,89,Incised, 
18,Digital Process,95,Scanned, 
18,Digital Process,96,Digital photo, 
19,Photo Type,98,Print, 
19,Photo Type,97,Negative, 
20,Negative Type,1107,Kodak TMX 5052, 
20,Negative Type,1118,"safety 4 x5""", 
20,Negative Type,1119,safety film, 
20,Negative Type,1120,, 
20,Negative Type,559,5 x75 B&W, 
20,Negative Type,1066,1 photonegative, 
20,Negative Type,1067,35mm, 
20,Negative Type,1068,4x5, 
20,Negative Type,1069,Ansco safety film, 
20,Negative Type,1070,Ansco/Kodak safety film, 
20,Negative Type,1071,B&W, 
20,Negative Type,1072,cellulose nitrate, 
20,Negative Type,1073,Eastman Safety Kodak, 
20,Negative Type,1074,Fuji, 
20,Negative Type,1075,Fuji Chrome, 
20,Negative Type,1076,Fuji Chrome-RD, 
20,Negative Type,1077,Fuji RVP, 
20,Negative Type,1078,Fuji-D, 
20,Negative Type,1079,glass plate, 
20,Negative Type,1080,Ilford 100 Delta Pro, 
20,Negative Type,1081,Ilford FP4, 
20,Negative Type,1082,Ilford IP1400, 
20,Negative Type,1083,Ilford XP1400, 
20,Negative Type,1084,Kodak, 
20,Negative Type,1085,Kodak & Ansco safety film, 
20,Negative Type,1086,Kodak 35mm, 
20,Negative Type,1087,Kodak 5062, 
20,Negative Type,1088,Kodak 6043, 
20,Negative Type,1089,Kodak Color x F1, 
20,Negative Type,1090,Kodak FX 5060, 
20,Negative Type,1091,Kodak PX 5052, 
20,Negative Type,1092,Kodak PX 5062, 
20,Negative Type,1093,Kodak PXP 6057, 
20,Negative Type,1094,Kodak safety film, 
20,Negative Type,1095,Kodak safety film 5062, 
20,Negative Type,1096,Kodak safety film 5063, 
20,Negative Type,1097,Kodak safety film 6010, 
20,Negative Type,1098,Kodak safety film 6011, 
20,Negative Type,1099,Kodak safety film 6014, 
20,Negative Type,1100,Kodak safety film 6036, 
20,Negative Type,1101,Kodak safety film 6041, 
20,Negative Type,1102,Kodak safety film 6043, 
20,Negative Type,1103,Kodak Safety Film 6074, 
20,Negative Type,1104,Kodak TMX, 
20,Negative Type,1105,Kodak TMX 5025, 
20,Negative Type,1106,Kodak TMX 5026, 
20,Negative Type,1108,Kodak TMX 5062, 
20,Negative Type,1109,Kodak TMX 6025, 
20,Negative Type,1110,Kodak TMX 6043, 
20,Negative Type,1111,Kodak TMX 6052, 
20,Negative Type,1112,Kodak TMX 6053, 
20,Negative Type,1113,Kodak VP 6041, 
20,Negative Type,1114,Kodak/Ansco safety film, 
20,Negative Type,1115,Konica Color SRG 160, 
20,Negative Type,1116,lantern slide, 
20,Negative Type,99,4 x 5 Color, 
20,Negative Type,100,4 x 5 B&W, 
20,Negative Type,1117,Pakon slide, 
21,Photo Material,103,Polyester, 
21,Photo Material,101,Albumen, 
21,Photo Material,102,Nitrate, 
23,Insured By,117,CSWS, 
23,Insured By,116,Lender, 
23,Insured By,267,Borrower, 
23,Insured By,115,Owner, 
24,Loan Purpose,118,Exhibit, 
24,Loan Purpose,119,Temporary Deposit, 
24,Loan Purpose,454,Auction, 
24,Loan Purpose,222,Records storage, 
25,In Exhibit,121,No, 
25,In Exhibit,122,Pending, 
25,In Exhibit,120,Yes, 
26,Image Resolution,623,2000, 
26,Image Resolution,624,1100, 
26,Image Resolution,625,200, 
26,Image Resolution,626,1700, 
26,Image Resolution,627,1500, 
26,Image Resolution,197,400, 
26,Image Resolution,618,1300, 
26,Image Resolution,213,300, 
26,Image Resolution,673,240, 
26,Image Resolution,617,900, 
26,Image Resolution,198,600, 
26,Image Resolution,199,800, 
26,Image Resolution,200,1200, 
26,Image Resolution,201,1600, 
26,Image Resolution,616,1000, 
26,Image Resolution,620,1800, 
26,Image Resolution,619,720, 
26,Image Resolution,621,4000, 
26,Image Resolution,622,1400, 
27,Digitizing Hardware,249,HP Scanjet 4850 flatbed scanner, 
27,Digitizing Hardware,671,Kip 7095 copier/plotter/engineering scanner, 
27,Digitizing Hardware,674,Canon ColorPass 5000 printer/copier, 
27,Digitizing Hardware,205,Epson Expression 1640XL flatbed scanner, 
27,Digitizing Hardware,206,Epson 836XL flatbed scanner, 
